id,comment_id,parent_comment_id,user_id,parent_user_id,parent_content,content,support,parody
1303,243260584449,243245505073,105242356,18771752.0,"讲那么多道理可能都没有一句：“早结一年婚就共产20w了”顶用    唉… 感觉现在好多女孩子已经被互联网把脑子洗坏了，如果你结婚是抱着做生意的心思来的，那是不可能幸福的…为了利益相聚那以后也一定会为了利益分歧，到时候靠什么来维系两个人的关系呢？不会又开始主动想要小孩了吧…这时候不喊小孩是男性对女性的压迫了？也是挺可悲的…   
本来婚姻、爱 都是努力把生活融合，努力去做到不分彼此，现在搞的恨不得婚前请个会计找个律师… 唉……",所以还结婚干嘛？还没一起就开始各种算计，都怕自己吃亏，结了也不会幸福。,0,0
105,243243606832,243113836913,57086520,10413265.0,有没有可能我是女生,女同要彩礼的也有啊,0,0
689,243260915345,243260583889,105242356,441979182.0,哈哈累 可能要单一辈子了,越是想法越多的，或者对婚姻期待很高的，基本很难走近婚姻，因为她们的假设条件太多了。,0,0
1156,244902171249,0,9770479,,,不要留下遗憾,0,0
827,243350165313,0,1902664096,,,你就别劝了，人家就是奔着离婚去的[笑哭],0,0
63,243379104080,243241493664,366620511,7206205.0,希望这位女士多跟自己闺蜜聊聊，坚守底线，人就活这一次，不要留下遗憾哦,有道理,0,0
853,243358240352,243220910897,385473117,3493110774500290.0,听听就好，年薪百万都找刚毕业的,是真找不到，也没这渠道，平时加班也忙。你带入的是小企业主，不是大厂打工人，大厂打工人都卷死了，找对象真不好找。,0,0
1596,244845028433,0,399561660,,,广东人家本地都不上10万为什么给她38.8？就是为了她的态度？,0,0
224,243425439728,243254106848,7597742,281230843.0,这年头只能说这样的女的越来越多，这也是如今结婚率低下的一个原因，这种女性本事不大断光短浅，总觉得自己读过几年书去过哪里旅游就觉得自己贼有本事，人中龙凤。小敏说的好，哪有弱者去管强者的，这么说，你应该去管你老板？？[doge][doge],放心大胆做自己！,0,0
146,243389169312,243110815681,33043920,10413265.0,听到江西我就[滑稽],觉醒了[doge_金箍],0,0
374,243119580337,243244593680,19277258,3688939.0,我就是遇到了这种。啥新房 装修 车子 车位 婚庆相关支出都是男方付了。女方基本没啥付出。嫌弃我家当时只剩8万的彩礼。女方父母举例朋友家女儿结婚要收18w 28万彩礼，意思是自己家应该也要有。后面因为其他事件领证3个月还没办婚礼分了，没发生关系。闹到法院调解的时候，开口就是要10万块的离婚补偿。其实这10万 20万对于我家也就3个月能赚回来。真想不通女方为了这点钱翻脸。拿后半辈子的生活无忧换这10万块。,因为你是奔着过日子去的，人家奔着赚钱去,2,0
1576,243122728609,243120095617,40547577,320336364.0,这个姑娘得多漂亮啊…,江西很出美女？,0,0
1620,243639417088,0,130946510,,,不是啊~  up主  你为啥要叫醒她   你得让她继续坚持底线 坚持她的底线啊~  你太不“人道”了,0,0
1490,243381212560,0,4487647,,,UP可以和我未来的女朋友聊一下吗，很急,0,0
1421,243309040512,0,173802817,,,工资卡上交，还可能被嫌赚的少。,0,0
1129,243646020848,0,18583210,,,简直TM捞女群体思维,0,0
10,244072839168,243245637249,62347315,340982179.0,我是不理解，为什么小敏要骂醒这个女人。她要是真学会伪装了，世界上又要多三个不幸的人了……,大哥，她是搞付费咨询的，你别把道德上的东西代入进去，律师还得给犯罪嫌疑人做无罪辩护呢,0,0
450,243248420305,243248097601,67782399,105242356.0,所以现在也是冷静期了，过了就去离了。人家还骂我是人渣呢，说我不爱她。TM的，她自己发脾气就拿离婚挂嘴边，说了N次。我开始都哄着，到后面就越来越过分。,你这也是没有选对人，觉得老公做什么都是应该的,0,0
709,244723608112,244713683136,40327425,40171348.0,有点搞笑了兄弟，什么时候独生子女代表了现代社会[疑惑],"独生子女，是前现代社会。
是社会变革的中间阶段[蹲一蹲]",0,0
256,243244933937,243126355089,67219295,3111871.0,诺手血怒也就五层，闺蜜对比+弟弟+江西+28+低薪管钱要态度+n=qweqar光速血怒诺克萨斯断头台直接劈[笑哭],传送开摆[doge_金箍],0,0
883,243197239649,0,3537114643827390,,,就喜欢看这好几百万的，嗯 跟我们老百姓的生活非常搭，非常的接地气。,0,0
390,243125624497,243255761200,340584572,3688939.0,是的，她自己都承认，我从来都没凶过她，伤害过她。从没逼过她什么事。 她连她自己的选择都不认可，怎么会幸福。,抱抱吧，加油，不要因为别人的错误伤害了自己。,0,0
909,243121799233,0,423809953,,,原来一年50万的人，脑子也有不行的,2,0
925,243242580592,243242271664,200677635,1786698351.0,我觉得可能主要原因是有弟弟吧，我自己和身边独生女，没听说哪个要特别多的，而且都是女方家里也有车有房。有弟弟就是你说的那种，真的漫天要价，其实女生也惨，彩礼大部分都被父母给弟弟了[笑哭],嗯 你减低了我对江女的一点偏见 看样子江西人还是有脑子的 独生女家确实彩礼就没必要那么高 但江西家家户户都是几子女么？江西也是中原地区 长期跟随国家大体 独生子女这一点应该也是啊？凉山那边是少数民族居多 江西是吗？感觉江西很多地方都是漫天要价那种,0,0
1516,243158605041,0,3493107182078860,,,权衡利弊,0,0
1221,243679020929,0,259485162,,,管钱的话，如果你能钱生钱让你管很正常。对方你有弟弟，你挪用。最后啥都没有。,0,0
461,243407694432,243246026048,9067844,3688939.0,以前自认为感情深，只不过是女方家传统。以前付出过都不算，女方回应的少也不算，就是彩礼低了不行。我家早就把她当自己家人了，我家对她绝对比她爸妈对她要好的多。事后我一个表弟都评价娶个祖宗回来。真的是变本加厉的试探底线，我家里是老实不是傻，察觉到女方的真实想法，我想了一上午就决定离了。要是真办了婚礼迟早也会离，那损失起码几十万。,相逢何必曾相识,0,0
1369,243252789969,0,527200194,,,男朋友的钱就应该全额上缴，每个月留个500就行了。,1,0
959,243337334768,243117565025,616801006,116518178.0,一个图财，一个好色，天生一对，锁死，不要流入市场,好色喜欢一个28岁的阿姨，这口味也太没品味了吧,0,0
502,243271173617,243240294033,21291282,2378196.0,医美不是终极骗钱？算了你值得拥有，医美做更好的的自己,不会 明星99.9%都做医美 可以看看伊能静55了跟25一样……,0,0
740,243216617089,0,22830875,,,up主能不能在网上搜搜照片，按你的颜值标准排个序，什么是小美女，什么是大美女，讨论的基础我们都没有概念,0,0
1767,243114123953,243114038145,170451,361697594.0,为啥现在全网都年薪四五十万啊,因为低年薪的不会被提到，幸存者偏差了,0,0
869,243366987072,0,192583629,,,"假如：
第一，彩礼和嫁妆归女方个人名下。
第二，女方收入没男方高。
第三，女方要求婚后管钱。
第四，女方选择在男方低谷期（待业期间）选择分手。
请问各位看官怎么看？？？
应该如果看待这段感情呢？",0,0
732,243136660145,0,423272,,,"这种对收入有顾虑的，我建议找中医医生。为什么呢？按岳阳的普遍标准，他毕业大概两三千，等他28岁了，大概收入就是5000了，这比毕业大概翻一番了，说出去挺励志的[doge]等他四五十岁了，收入应该在一万左右了[doge]而且更恐怖的是，中医医生越老越值钱，根本不可能失业！五十岁月收入一万，等他一百岁了，那看诊的诊金是多少，我都不敢想。[吃瓜]
最近又看了看显卡，去年2100买的6700xt显卡都全部停产，而且网上都不要2000了。唉，怎么能这样呢？显卡就应该跟姑娘一样，越老越值钱[吃瓜]虽然是几年前的显卡，虽然可能拿去挖过矿，虽然有修过，但是它看起来像新的呀，不识货",2,1
540,243479397377,243248842608,7910754,421706916.0,"我们家现在我都给我女朋友管钱，毕竟两家都认识，而且我们谈了五六年，和她谈恋爱之前我一分钱都存不下来（学生时期每个月3000基本上全用光）。
我是个花钱相当大手大脚的人。。。基本上有多少用多少，她比较节省，平时出去玩都是她嫌消费太高然后不愿意。
这种情况我觉得我就乐意把钱给她，除非是投资，不然我也不想过问，生活上的开销管起来太麻烦了。",那是钱少，钱多你试试，我不是说你女朋友不好。。男人女人思维不一样，要用最好的最有效的方法，不是你最用情的方法，你用情对彼此也有可能是错方式,2,0
698,243121544993,243119319265,1784812593,38133666.0,如果我是这个男的，年薪五十万，家里还有钱的话，结婚才是真的愚蠢行为，冒着巨大的风险给自己找麻烦。,这个男的好色啊，他愿意为了颜值买单，就像有的人愿意往游戏里库库充648一样[doge],0,0
1231,244135694976,0,485493020,,,"年入五十？年入十万也不会要这种乡下的臭鱼烂虾好吧。
提彩礼就可以滚了。什么乡巴佬。",0,0
1546,243272145952,0,327938421,,,坚持自己梦想，不要放弃，否则害人害己。,0,0
1032,243247111665,243375238416,105242356,3546595308079320.0,彩礼本质是有产阶层男方支付女方父母培养女方成本的费用。是男方家庭付给女方家长的一次性买断的“赡养费”，因为女性在“嫁人”后就会成为“男方家的人”，所以才有了这样的“公平交易”，以促成家庭这个最小的经济单元的诞生，从而维持社会再生产。嫁妆本质是女方父母因为亲情提供女方自身养老应急的费用。无产阶级画虎不成反类猫~ 婚姻本质是构建繁衍下一代的基础共同体。财产都是共同体附带属性。构建失败解体造成的损失也必然由构建方承担。,你说的这些大道理不如别人女方一句话。没用的。,0,0
373,243118802145,243246026048,794283,3688939.0,以前自认为感情深，只不过是女方家传统。以前付出过都不算，女方回应的少也不算，就是彩礼低了不行。我家早就把她当自己家人了，我家对她绝对比她爸妈对她要好的多。事后我一个表弟都评价娶个祖宗回来。真的是变本加厉的试探底线，我家里是老实不是傻，察觉到女方的真实想法，我想了一上午就决定离了。要是真办了婚礼迟早也会离，那损失起码几十万。,人家家里计算干了赚你家的快钱，赚完换下家，创业呢！,2,0
668,244438211296,243136578641,181007024,204985773.0,女方更加没面子，女方父母得给别人笑死,廣東人不會這麼想，女方家長要太多會被人說賣女兒,2,0
1351,243325606577,0,14731083,,,我记得经济控制好像是家庭冷暴力的一种,0,0
358,243189799585,243166739969,35543755,105242356.0,迟早得离，,订婚的时候我另一个朋友就劝了，但是他觉得这个不结怕以后就没得找，然后就没离,2,0
968,244113053025,0,1297467,,,捞女进阶版,2,0
784,243358396144,243138012961,340360640,424727186.0,说实话，我真觉得小敏说得对。其实彩礼八万八我觉得不低了，而且女方自己和男方收入差距又大，女方凭啥去管人家钱啊，人家虽然自己小气，但是对女方又大方收入也高说明人家也挺有责任心的，男生学历也高基因估计也不错，以后生了孩子，孩子的吃穿用度和教育大概率也不会拿女方的钱去贴，女方就相当于工资自己攒着花了呀。而且又是全款房，没房贷，自己租房租那么大的一个月都是两三千多的，一年就是三四五万，都占女方的收入三分之一了[笑哭],欲望,0,0
736,243240044224,0,37974422,,,说实话，要是这样我选择不结婚，结婚干啥，自己找不痛快,2,0
1036,243359937344,243359505248,549858610,677512824.0,本科生，双非一本，男，净身高173，体重150斤，福州市区两套小面积房产（都是80平方左右），父母都是医生，自己家开诊所的，父母年收入应该加起来有30w左右，这个条件怎么样呀[脸红][脸红]我今年考研没考上，在家二战[大哭][大哭]01年的，从小到大都没交过女朋友，身边好多同学都有女朋友了，真的好焦虑[脸红][脸红],一個150體重就拜拜了,0,0
971,244449532736,0,1905791725,,,凭什么要把工资卡交给女人？这些女人的控制欲真是可怕。男同胞们雄起！要敢于对女人说不。一个男人敢于义正词严的拒绝女人的无礼要求，也是一个男人成熟 的表现。男人不能太老实。老实人是会吃大亏的。近些年以来，时常出现一些女人卷钱跑路。自己赚的钱，就应该自己管着。家里要用钱，两个人各自拿出一部分。害人之心不可有，防人之心不可无。男同胞们一定要有骨气。,2,0
1719,243112064417,243240482336,474765899,105427147.0,我馋小敏怎么办[doge][doge],排我后面去,0,0
1315,243748259808,0,90944013,,,"犹豫了，就分了吧。
将就的话，你以后会后悔的！！！",2,0
1319,243404408000,0,21507821,,,[生气_金箍],0,0
1506,243118406145,0,327157970,,,听我的分手把  别耽误别人男孩子,2,0
1526,243941308161,0,19375680,,,我老婆家庭主妇，我自己做生意，她跟我说过好多次很多老婆管钱，为啥我不让她管，而且对我的评价是“你做过所有的生意决策都是错的，你做的每一个决定都不对”。爱咋说咋说，我做了二十年生意，做的决策不如一个生意白痴？,2,0
886,244832303377,243242120832,53256497,15301332.0,"1.他要是把钱给你管，那他的脑子就支撑不了他现在挣的这份儿钱。
2.互联网大厂出轨比例，可比G企Y企JGQSYDW低多了，因为前者是真要花时间精力在工作上，后者大把闲白时间，一堆人凑一起大把闲白时间能干嘛？",3大容易被绿的职业:程序员，作家，电竞选手[doge],0,0
80,243220317329,243139989713,3493110774500290,3493120559810890.0,超过10万天价彩礼违法行为，,前两天看见个新闻，女硕士公派荷兰留学，在那边找了个白人，就绿了家里老公然后离婚了，找白人是想润过去不回国了，因为公派有要求必须回国几年，这不当年好像问原配结婚时要了66万彩礼，这边怀孕3个月又问白人要，是8.8万欧元，没想到白人老哥直接把她告了，好像拘留了，因为在欧美以结婚为条件索要财物，特别是在女方已经怀孕的情况下，一律定性为诈骗。,0,0
815,243348907840,0,1412876515,,,"一个普通家庭的年轻男士，收入5000多也算可以了吧。
如果愿意一上来就给女方接近30万，而且以后所有钱上交，只保留一点零花钱，女方挣得还不如自己多。
女方还未必能提供情绪价值和家务。
我就想问了，这个S13，就那么缺女人吗
？留着30万，每月5000多，零花钱，就真的比每天有个女人一起睡guo'de觉更差吗？",2,0
1296,243477029569,0,321844596,,,我现在都没有理解为啥要把钱放在一个手上管，想要集中钱做大事，可以开个账号，每个月大家一起往里面存钱[吃瓜],0,0
672,243194996481,243136660145,49670682,423272.0,"这种对收入有顾虑的，我建议找中医医生。为什么呢？按岳阳的普遍标准，他毕业大概两三千，等他28岁了，大概收入就是5000了，这比毕业大概翻一番了，说出去挺励志的[doge]等他四五十岁了，收入应该在一万左右了[doge]而且更恐怖的是，中医医生越老越值钱，根本不可能失业！五十岁月收入一万，等他一百岁了，那看诊的诊金是多少，我都不敢想。[吃瓜]
最近又看了看显卡，去年2100买的6700xt显卡都全部停产，而且网上都不要2000了。唉，怎么能这样呢？显卡就应该跟姑娘一样，越老越值钱[吃瓜]虽然是几年前的显卡，虽然可能拿去挖过矿，虽然有修过，但是它看起来像新的呀，不识货",虽然是个段子 倒是感觉有被冒犯到 稳定的穷 毕业两千  现在二十八了  一年到手才 7万[笑哭]也比五千好不到哪里去[笑哭],0,0
1357,243178603073,0,59996565,,,“三个女儿不是亲生”的那位大哥，是不是也是江西的？,0,0
58,243317771008,243241493664,57963611,7206205.0,希望这位女士多跟自己闺蜜聊聊，坚守底线，人就活这一次，不要留下遗憾哦,对！必须各方面都得比闺蜜的强才配得上！如果合格那么这男的是跑不了了，但是，可以告诉所有闺蜜，一定要安找个标准找，不达标的劝分手重新来过！迷途知返啊！（救不了这个救其他兄弟吧）,2,1
134,243316802256,243110815681,291066644,10413265.0,听到江西我就[滑稽],快去分担吧,0,0
934,243233090385,0,205139691,,,江西女的都是这种脑回路么[捂脸],0,0
1577,243123803265,243122728609,320336364,40547577.0,江西很出美女？,不然这个智商实在不理解男的看上她啥[喜极而泣],0,0
