id,comment_id,parent_comment_id,user_id,parent_user_id,parent_content,content,support,parody
1523,234410310032,233854643152,344746295,12517477.0,"看navi比赛.越看jl越喜欢....我指的不是他对枪输赢.而是他输赢时候的表情表现..
这人真有意思...",活跃队内氛围很活泼的一个人。,3,
3185,232868506160,0,362770534,,,擒拿,2,
1828,232869745296,232869708528,3546662670698760,106921806.0,非引战，但大B哥在未来有没有可能竞争史一步呢？出道四年，两个major，而且是横跨csgo和cs2，有大满贯，其他冠军拿了不少，战绩也一直不错。现在成了队伍里的明星位，今天拿了第一个mvp，以navi的状态看来现在一年整一两个冠军问题不大，慢慢积攒下去荣誉的厚度也会有的。现在看来可能差的一是高一点的hltv排名（今年有希望冲一个），二是mvp少，但没办法拿冠军最多那段时间他和csgo的goat一队……感觉尼如果到退役都没有major的话，大B哥真能争一争。,先保证稳定的高rating 后面一切都好说,0,
2354,232869819776,0,673986654,,,感觉im还是得滚蛋,4,
2419,232886928160,0,33402666,,,monesy只剩狂了[微笑],2,
2443,232880124816,0,3494356241615670,,,g2缺一个控制队伍情绪，发现队伍问题的教练,2,
2182,232917642208,232893492496,313073553,29636193.0,taz：当教练就是爽，近距离看比赛还不用买票。,还可以开前老板送的漂亮的奔驰和明星选手一起兜风[喜欢][喜欢][喜欢],0,
2152,232868614704,0,10622707,,,孩没手感就算了，感觉图池暂时就一个遗迹能拿得出手，害得练的啊，希望下次能看到你们的进步,0,
2407,232869161008,232868624304,2137635652,1620493.0,[墨镜]小马哥遗迹确实给力，但是只限遗迹的样子 赶紧把其他图磨合下吧 。太子整个bo3犯得错希望是2024整年的[辣眼睛],马小镇还是出力了的，虽然说长痛不如短痛吧，但要没小马那是真的能直接短痛了,0,
2498,232892390320,232874722192,300787535,171897829.0,一个majorMVP，一个世界杯MVP，儿和大哥今年top10有了[OK],儿整年数据进不了10，20应该有，王德发可能进10,0,
2747,232885576928,0,399767930,,,新片头,0,
2015,232922212768,232868783424,23575688,12599130.0,小孩一遇到bit就软了，g2一遇到李神那就是差一口气，现在差好多口气了，七擒孟获，李神的压制还在继续。g2对VP有血统压制，这李神对g2也是啊,对载宝具，小孩一遇到猛的步枪手就软了，就手撕你大狙没脾气的啊,0,
296,232923864016,232867904752,278131097,508992464.0,"这是一只史上最平民的Navi，甚至很多人都不看好Navi，能进入冠军组就是他们的上限，可是就是这样一只由出道即巅峰，近两年碌碌无为的爆头机器bit，辗转多支战队，被人诟病只会默认的弃子指挥，一个被人嘲笑只会在二线比赛，自嘲自己失败者的步枪手，一个在巴黎major昙花一现，最大骗局的突破，还有一个接过goat的AWP，饱受质疑的狙击手，就是这样的一支战队，在所有人不被看好的情况下一路逆袭，这就是电子竞技的魅力[打call][打call]
永远不要低估一个传统豪门的实力",navi总是能在不经意间来点惊喜，总给人一种没有压制力的感觉，但有时候到了那个档口就是打不过他,3,
713,232873517760,0,244166228,,,哥们顶着难受看到你g2 1:0 navi，心满意足的睡了，早上一起来一看，“恭喜navi夺冠”，不是哥们我一觉把g2睡没了?你到底打的有多离谱才能被连追两分?年年都有期望，年年都给粉丝一耳光，当然新阵容磨合和战术研究可能还不够到位，期望明年吧,1,
73,233141861392,232874014304,672002056,13343379.0,哥本哈根major也是faze挡住了绿龙，然后navi夺冠，卡托维兹，blast春决绿龙碰到navi都是赢，,达拉斯还打了个2:0,0,
1526,232996769968,232921091024,1587451055,12181807.0,小孩怎么说，也还小才十几岁，给他成长的时间和机会。,准备20了,0,
2426,232881824640,0,478853886,,,[笑哭],0,
3030,233230455696,232938411472,1276803225,10948441.0,蜜蜂越打越菜，梦回2021，这apex脑子进屎是真恶心,蜜蜂mezii刚进队就拿了个冠军，然后开始猛猛拉[脱单doge]正好是楼主说的“不正常情况”，不过我是豆豆粉丝[给心心],0,
3077,232950418128,232948955952,690941343,196981369.0,这主办方分组没点黑箱我是不信，刻意让NAVI避开绿龙，最后给NAVI一个孟获，成就李子丞相之路。,你这黑箱也太黑了，niko都快成沙特亲爹了，主办方舍得让大明星输？,0,
482,232890638000,0,493593646,,,hltv ins上面的高赞评论，没绷住😂,0,
2370,232959337856,232904271664,180243707,306062507.0,这个队伍无法克服的难题，小孩哑火，寸步难行,就那么几个火力点，还是主狙，你这说的不是废话么，小孩不发挥g2还有可能赢，小蜜蜂绿龙这种大哥不发挥那就是真可以点了,2,
1532,232933533440,232928250800,32821297,13540091.0,那你也太云了吧 blast春决打完刚停了一个月,我压根就没玩,0,
2725,232905914864,0,291345267,,,没赢navi  这个决赛小孩要背锅,2,
1874,233242845376,233060939536,358827023,280435111.0,HooXi的体系可能有问题 但是现在这样感觉没体系问题更大,呼吸体系其实没问题的，上半年还是大哥手感不行，体系运作不下去，加上沟槽的不请教练呼吸一个人当俩人用，扛不下去了,1,
1516,232869368512,232868946976,383593993,6995908.0,石油富哥搞的比赛，只是官方规定不能搞的比major大，要是没限制的话，你想想[doge],主要是我想知道top评分有没有加成，想让jl进top20啊,3,
3156,232870940352,0,364295527,,,批孩批孩批孩批孩批孩批孩批孩批孩批孩批孩批孩,2,
